,Unnamed: 0,airline_sentiment,text,review_len
0,1,0,@VirginAmerica plus you've added commercials to the experience... tacky.,9
4,6,0,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",15
5,8,0,"@virginamerica Well, I didn't…but NOW I DO! :-D",8
6,9,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",14
7,11,0,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,12
8,12,0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,26
9,13,0,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,18
10,14,0,@VirginAmerica Thanks!,2
12,16,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,22
14,18,0,I ❤️ flying @VirginAmerica. ☺️👍,5
15,19,0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,17
17,21,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,6
18,22,0,@VirginAmerica I love the hipster innovation. You are a feel good brand.,12
26,34,0,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,19
27,36,0,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,16
28,37,0,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",10
30,40,0,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",17
32,45,0,@VirginAmerica I'm #elevategold for a good reason: you rock!!,9
33,47,0,@VirginAmerica wow this just blew my mind,7
34,51,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,16
36,56,0,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,11
37,57,0,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,11
39,64,0,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,14
42,68,0,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,15
45,74,0,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",21
46,75,0,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,15
49,81,0,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,20
65,105,0,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",18
68,109,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",16
69,111,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",16
70,113,0,@VirginAmerica Have a great week 🌞✈,6
71,114,0,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,19
73,116,0,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",19
74,117,0,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,15
75,118,0,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,24
76,119,0,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",20
