,text,airline_sentiment
0,@united just delayed my flight to SLC by 2.5 hours. What gives? #snowforce,1
1,"@JetBlue I DM'd my confirmation code... Thanks again for your help! Mommy, daddy, and kids appreciate it!",0
2,"@USAirways - the worst! Hold time crazy, agents horrible, no accountability! #USAIRsucks",1
3,"@USAirways why did you Cancelled Flight flight 1773 to phl, while delta flew a flight at the same time, on time? you Cancelled Flighted for no reason",1
4,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,0
5,@united you're right. Good you caught the mechanical failure. Too bad there are no blankets. But ok.,1
6,"@JetBlue shout out to the crew on flight 89 headed back to the big apple, they kept my glass half full the whole flight! #jetbluejfk",1
7,@USAirways @Beamske But maybe I can be on hold for 30 minutes again. That would be just as amazing.,1
8,"@AmericanAir called last night, after 10hrs got call back, can I get a one day pass to admirals club? I'm going to be spending 7hrs in DFW",1
9,@united I've been doing this for 15 years and I've never had this many issues with any other airline.,1
10,"@SouthwestAir ruined my Sunday. 3+ hours of delays out of DIA, now my bags are at the wrong airport. $35 to deliver them? Insult to injury.",1
11,@AmericanAir so great AA1103 sitting for an hour first technical problems now what?,1
12,"@united Unfortunately had a bad experience flying with you on Saturday. Inpolite crew, bad delays.",1
13,"@USAirways - what a disaster! Flight 3739, missed passenger count by 5 since it was done manually!!  Really???",1
14,@USAirways - thanks however I feel like the system has failed me -- what is the solution?,1
15,@SouthwestAir I did. Thank you.,0
16,@united flight 4841...3 gate changes on top of this.  Really hoping you can compensate with some points/mileage to my account!,1
17,@USAirways flight #654 sitting at JFK with delays for 3-1/2 hrs! No employees to load bags? #terrible,1
18,@united you can't say the flight is pulled in and departs in 2 mins if boarding hasn't even started! http://t.co/2IKbP8gxWi,1
19,@AmericanAir No I do not have them yet. Called for baggage status 5 times yesterday.,1
20,@AmericanAir Just landed - crew couldn't have been more gracious or accommodating. Although a long delay I appreciate your prompt response!,0
21,@united funny I paid to check my bag and now flight 1086 is BEGGING folks to check bags for free 1 hour before flight. #notcool,1
22,@USAirways gate agent in CLT forced me to check bag in z1 &amp; proceeded to allow larger bags. Huge inconvenience to travel plans.,1
23,"@USAirways @AmericanAir I love you guys &amp; I'm gonna let you finish, but I've been on hold for 1 hour trying to book a flight w/ my voucher.",1
24,@SouthwestAir - Apology accepted! #customerserviceWIN #itravelalot http://t.co/z5znfwkKWP,0
25,@USAirways not even on your dime and free tickets.  #worsttraveldayever,1
26,@USAirways has the worst customer service. Can't even get through to a rep you gotta be kidding me,1
27,@JetBlue it seems almost inconceivable that sitting a 5 year old alone is considered okay. But this guy thinks so. http://t.co/q9n6NZYSpK,1
28,@USAirways I already let them know and sent 4 complaints.  Got a call back finally when I was asleep and there is no return call back #,1
29,@VirginAmerica Thank you for the follow,0
30,"@JetBlue can't book a flight because of outdated, forced opt-in ""Verified by Visa"" nonsense. Help a girl out? I just want to get to @sxsw",1
31,@united and now your rep just hung up on me after over 35 mins on hold because I asked for a supervisor. I'm furious right now.,1
32,I ❤️ flying @VirginAmerica. ☺️👍,0
33,@SouthwestAir My 11AM was canned. I empathize. But I think your Team has lost the right to be capitalized. It's a lowercase team day.,1
34,@SouthwestAir I'm in line at the airport right now. Will you cover hotel fair or am I to sleep in the airport?,1
35,@united Yes but unbelievable.  Should have a free fare lock,1
36,"“@united: @qlyss8 We don't want our customers to be frustrated. Thank you for your patience. ^JT” A lovely sentiment, but not a $180 one.",1
37,@united this is despicable I spoke to  many diff people &amp; everyone is telling me something different I have a claim no. I need my bag now,1
38,"@AmericanAir I waited on hold for two hours, only to have my call. Really unreliable.",1
39,@United landed in den on time stuck waiting for gate for 30 min. Maybe an update would be a good idea capt?,1
40,@AmericanAir Hey so I'm very disappointed with my time traveling with you! I've had the worst experience and both times the flight delayed!,1
41,@AmericanAir But you called me - and hung up.,1
42,@united GRK13575M is the file reference,1
43,@AmericanAir finally called! Can't get met Seattle so refund will be processed. Thanks,0
44,@AmericanAir yes. Just sayin' that was a particularly poorly handled situation.,1
45,@SouthwestAir Stuck on 4251 with the heat blasting to try and thaw the water lines.... Kinda disappointed for my first flight as a RR member,1
46,@VirginAmerica Site down? #help,1
47,"@united thanks, it was my first time in a United lounge and felt welcomed.",0
48,.@AmericanAir can you connect me to a person without having to wait 2+ hours on hold? I still haven't been able to resolve the problem.,1
49,@AmericanAir that doesn't really answer my question. Maybe if I provide more details you can give me clarification...,1
50,@SouthwestAir Southwest is definitely my favorite airline to fly! :D,0
51,@SouthwestAir Way to go flying out of Denver today! Must be the only airline not Cancelled Flighting/delaying flights! #FlySWA #denverairport,0
52,@AmericanAir Trying to make an online Flight Booking Problems one way from Barbados -NYC but wont let me as says I need a Barbados CC...why??!,1
53,@USAirways bumping people off a flight ten minutes before takeoff because the flight is overbooked #fail,1
54,@SouthwestAir I'm running out of money to keep paying for hotel rooms &amp; food in NYC. You don't help people with $ spent,1
55,"@JetBlue flight 672 delayed from 9:30 to 11:47 now, still sitting on runway over 15 minutes so far. Air travel at its best.",1
56,@USAirways ever think about hiring more agents? Come on now. Don't you think 4 hour holds is a little ridiculous? Get a clue,1
57,@united The first time I flew United was horrible thought I would give you a second chance. There will NOT be a third! #disgruntled,1
58,@SouthwestAir  I USED to always fly Southwest.,0
59,@united It is all good -- your 1K team has been nothing short of amazing with everything.,1
60,@united hi.I am still waiting for the refund. This is ridiculous.Or u approve my tickets or u give me a refund.Please advise wht is going on,1
61,@united we are the airline that has Cancelled Flightled flights TOMORROW to the NYC area,1
62,@united I knew I should've flew @VirginAmerica lol,1
63,@SouthwestAir thanks for the ride to Chicago. #kmdw #b738 http://t.co/6cpYPGFnD6,0
64,@united not once did #US3645 leave #ORD on time this week #shameful,1
65,@AmericanAir But Eagle is always Late Flight,1
66,"@SouthwestAir now we have to wait, and wait to get it straight. I fly you for personal and business. But now, not so sure. #BeBetter",1
67,"@AmericanAir No, when I call AA now I can't even get on hold...can you help me?",1
68,@united no I did not make connection.  Your stellar employee Vicky Thomas refused to board me even though 23 empty seats on plane,1
69,@SouthwestAir stop ur bs promos of ✈️anywhere starting at 79$ I click and everywhere I'd fly=130$ The only place thats 79$ is CLE #NoThanks,1
70,@AmericanAir. It's been 5 hours and still no call and now we are back to being hung up on by an automated system.  #AmericanAirlines,1
71,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,1
72,"@united on 2/20 Denver AP, gate B91 (destination Santa Fe), agent Ashley did an amazing job in the face of an angry traveler. Kudos.",0
73,@AmericanAir No worries they called back 4 hrs Late Flightr while I was asleep and took an additional $200 fee. So by AA standards everything's gr8,1
74,@SouthwestAir I was just sitting here talking at a tech conference about how awesome you guys are and this rolled across. Luv you guys! #LOL,0
75,@united 4 passengers after a 2 hour delayed flight left with no hotel at the end of the night @ hou airport. Wtf??!! http://t.co/ZfqMpGXVS6,1
76,@USAirways I can't wait to never fly with you again. Always delayed. Always lose my bag. Rudest people on the planet. Southwest is the best,1
77,@USairways E190 lands without nose gear in Houston - @Flightglobal http://t.co/Yf9NhMwyFF,1
